Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
3 hidden,4,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,55.84,1.2390150421720636
3 hidden,5,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,58.178,1.1786019539131838
3 hidden,1,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,40.936,1.6434358445274861
3 hidden,2,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,51.998,1.3526843097966041
3 hidden,3,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,55.34,1.2556050627127937
3 hidden,4,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,58.016,1.1881017909025597
3 hidden,5,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,60.004,1.1357529327997467
3 hidden,1,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,41.248,1.6302499040923155
3 hidden,2,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,52.384,1.3387650914509277
3 hidden,3,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,56.408,1.2339697427609388
3 hidden,4,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,59.26,1.1570156482631897
3 hidden,5,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,61.436,1.0977020366569918
