Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
3 hidden,1,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,32.21,1.8775816620768184
3 hidden,2,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,43.34,1.5781616378013434
3 hidden,3,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,46.528,1.4841424333469948
3 hidden,4,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,48.362,1.4390628372921663
3 hidden,5,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,49.6,1.4057960200797566
3 hidden,1,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,34.442,1.8121948893112905
3 hidden,2,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,45.75,1.5078204794003225
3 hidden,3,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,49.382,1.4154774996325792
3 hidden,4,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,51.326,1.3625834510301995
3 hidden,5,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,52.902,1.3265554975060856
3 hidden,1,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,37.042,1.7490434861549027
3 hidden,2,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,47.522,1.46401125863385
3 hidden,3,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,51.496,1.3627102664669457
3 hidden,4,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,54.038,1.3015698142673657
3 hidden,5,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,55.66,1.2547289670428352
3 hidden,1,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,36.82,1.7445498662226646
3 hidden,2,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,47.974,1.444938054475028
3 hidden,3,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,52.83,1.329272859008111
3 hidden,4,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,55.404,1.2551584839820862
3 hidden,5,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,57.34,1.2038707507540807
3 hidden,1,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,40.924,1.6420695737499715
3 hidden,2,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,51.862,1.3536158617195266
3 hidden,3,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,55.608,1.2487147292670082
3 hidden,4,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,58.314,1.1810090416075323
3 hidden,5,"(3, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1, 14, 14, 3, 1, 1, 1)",6198,59.968,1.1320796746122257
3 hidden,1,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,42.342,1.6014309848665886
3 hidden,2,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,53.384,1.3111046639549764
3 hidden,3,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,57.902,1.1989214642883261
3 hidden,4,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,60.846,1.1230918316127698
3 hidden,5,"(3, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1, 16, 16, 3, 1, 1, 1)",7658,62.652,1.0699821805862515
